vteHealth in Asia,vteHealth in Asia.1
Sovereign states,Afghanistan Armenia Azerbaijan Bahrain Bangladesh Bhutan Brunei Cambodia China Cyprus Egypt Georgia India Indonesia Iran Iraq Israel Japan Jordan Kazakhstan North Korea South Korea Kuwait Kyrgyzstan Laos Lebanon Malaysia Maldives Mongolia Myanmar Nepal Oman Palestine Pakistan Philippines Qatar Russia Saudi Arabia Singapore Sri Lanka Syria Tajikistan Thailand Timor-Leste (East Timor) Turkey Turkmenistan United Arab Emirates Uzbekistan Vietnam Yemen
States with limited recognition,Abkhazia Northern Cyprus South Ossetia Taiwan
Dependencies and other territories,British Indian Ocean Territory Christmas Island Cocos (Keeling) Islands Hong Kong Macau
Category  Asia portal,Category  Asia portal
