0,1
Abortion Crime Human trafficking Migrant workers Piracy Prostitution Smoking,Abortion Crime Human trafficking Migrant workers Piracy Prostitution Smoking
Culture,Architecture Candi Colonial Mosques Rumah adat Art Batik Cinema Costume Cuisine Dance Festivals Legends Libraries Literature Martial arts Media Music Mythology National heroes National Pedestrian Day Painting Properties Public holidays Sport Theatre Video games
Demographics,Education Ethnic groups Indonesian Health Healthcare Homelessness Languages Refugees Women LGBT rights
Religion,Islam Christianity Catholicism Protestantism Hinduism Buddhism Confucianism Judaism Sikhism
Symbols,Anthem Costume Emblem Historical Subdivision Faunal emblems Flag Subdivision Floral emblems Motto Nusantara Personification Songs
